start_time	word
931.9	sorry.
933.9	But
935.9	we
937.9	promised
939.9	we'd
941.9	find
943.9	this
945.9	monkey.
925.9	If
926.1	you
926.3	see
926.5	him,
926.7	he's
926.9	about
927.1	yea
927.3	high
927.5	and
927.7	answers
927.9	to
928.1	the
928.3	name
928.5	Marcel.
929.3	So
930.4	if
930.4	we
930.4	could
930.4	get
930.5	some
930.5	pictures
930.5	of
930.5	you,
930.7	you'd
930.9	really
931.1	be
931.3	helping
931.5	us
931.7	out.
941.6	Okay,
941.8	from
942.0	now
942.2	on,
942.4	you
942.6	don't
942.8	get
943.0	to
943.2	talk
943.4	to
943.6	other
943.8	people.
946.1	Marcel?
946.3	Marcel.
947.5	Marcel?
949.5	Marcel?
953.6	Oh,
953.8	my
954.0	God.
954.2	What?
955.0	Something
955.2	just
955.4	brushed
955.6	up
955.8	against
956.0	my
956.2	right
956.4	leg.
957.1	What
957.3	is
957.5	it?
957.7	Oh.
958.8	Oh,
959.1	it's
959.4	okay.
959.8	It
960.1	was
960.4	just
960.7	my
960.9	left
961.1	leg.
962.1	[MARCEL
962.3	CHATTERING]
963.6	Look,
963.8	Phoebe.
965.0	Oh,
965.2	yeah.
965.4	Oh,
965.6	Marcel.
965.8	Come
966.0	here.
966.8	Oh,
967.0	come
967.2	here,
967.4	Marcel.
967.6	Step
967.8	aside,
968.0	ladies.
970.7	What
970.9	are
971.1	you
971.3	gonna
971.5	do?
971.7	Just
971.9	a
972.1	small
972.3	tranquilizer.
989.7	Run,
989.9	Marcel,
990.1	run!
990.3	Run,
990.5	Marcel!
992.2	Damn.
992.4	Are
992.6	you
992.8	okay?
994.2	Oh,
994.4	yeah,
994.6	I
994.8	think
995.0	so.
997.4	Oh.
1000.4	Huh.
1002.3	Whoa.
1005.0	Oh,
1005.2	gosh.
1014.9	Marcel.
1015.1	Marcel.
1017.3	This
1017.5	is
1017.7	ridiculous.
1017.9	We've
1018.1	been
1018.3	all
1018.5	over
1018.7	the
1018.9	neighborhood.
1019.8	He's
1020.0	gone.
1020.2	He's
1020.4	just
1020.6	gone.
1021.5	Ross,
1021.7	you
1021.9	don't
1022.1	know
