h	w	p
257	415	2
257	415	2
271	410	2
273	410	1
277	410	1
277	412	1
275	410	2
275	406	2
279	401	2
281	401	2
287	401	4
243	473	4
285	406	6
285	415	5
287	424	4
287	428	6
206	446	6
204	446	5
204	446	4
204	446	4
202	442	4
200	442	4
198	439	3
126	374	2
118	371	2
120	371	1
120	371	1
122	371	1
122	374	1
122	374	1
124	372	1
126	372	1
128	372	1
126	374	1
126	374	1
126	374	1
128	374	1
128	374	1
128	374	1
128	374	1
128	374	1
128	374	1
128	372	1
128	370	1
128	368	1
128	367	1
128	366	1
128	365	1
128	361	1
128	358	1
128	356	1
130	355	1
130	353	1
130	351	1
130	349	1
130	348	1
130	348	1
132	347	1
132	344	1
132	342	1
134	341	1
134	341	1
134	340	1
134	337	1
136	336	1
136	336	1
136	335	1
136	335	1
136	333	1
136	333	1
136	333	1
136	333	1
136	333	1
136	333	1
136	333	1
134	335	1
134	335	1
134	335	1
134	335	1
132	336	1
132	336	1
132	336	1
134	336	1
132	336	1
132	336	1
132	336	1
132	336	1
130	337	1
130	336	1
130	337	1
130	337	1
130	336	1
130	336	1
130	336	1
130	336	1
130	336	1
130	336	1
130	336	1
130	336	1
132	336	1
132	336	1
132	336	1
134	335	1
134	335	1
134	335	1
134	335	1
134	335	1
134	335	1
134	335	1
134	335	1
136	335	1
136	335	1
138	335	1
138	333	1
140	333	1
140	333	1
140	333	1
142	333	1
142	333	1
142	333	1
144	333	1
144	333	1
144	333	1
144	332	1
144	332	1
144	332	1
144	331	1
144	331	1
144	331	1
142	331	1
142	331	1
140	330	1
138	330	1
136	330	1
132	330	1
130	328	1
128	330	1
126	330	1
124	331	1
124	332	1
122	333	1
120	336	1
118	340	1
120	344	1
118	346	1
116	348	1
116	349	1
116	351	1
116	351	1
116	350	1
116	351	1
118	351	1
118	351	1
118	350	1
116	350	1
116	350	1
116	349	1
116	349	1
118	349	1
116	348	1
116	348	1
116	348	1
116	349	1
116	349	1
116	350	1
116	351	1
118	353	1
120	354	1
124	354	1
126	356	1
128	357	1
132	359	1
134	360	1
134	361	1
136	362	1
138	363	1
140	363	1
142	365	1
144	365	1
144	365	1
146	363	1
148	362	1
150	362	1
150	361	1
148	362	1
148	362	1
148	361	1
150	361	1
150	360	1
148	359	1
146	360	1
144	360	1
144	361	1
142	361	1
140	362	1
138	362	1
138	362	1
136	362	1
134	362	1
134	362	1
132	362	1
132	362	1
134	362	1
132	362	1
132	362	1
134	363	1
134	363	1
136	363	1
136	363	1
136	362	1
136	362	1
136	361	1
136	361	1
136	361	1
136	361	1
136	361	1
136	361	1
134	361	1
134	360	1
132	358	1
130	357	1
128	356	1
128	355	1
126	354	1
124	353	1
122	352	1
122	351	1
120	350	1
116	349	1
110	347	1
110	347	1
112	347	1
112	347	1
112	347	1
112	347	1
112	348	1
114	349	1
114	353	1
114	356	1
116	357	1
118	358	1
120	359	1
